Invoice Number,Date,Time,Restaurant,Suburb,Prep Time,Type,Food Total,Comm. Ex VAT(%),Due To You,Restaurant Status
DFD71008525,2021-08-08,14:36:56,Ivy's Kitchen,Observatory,25,delivery,58.0,27.5,39.66,restaurant_accepted
DFD71018360,2021-08-08,15:48:47,Ivy's Kitchen,Observatory,26,delivery,105.0,27.5,71.79,restaurant_accepted
DFD71018463,2021-08-08,15:49:29,Ivy's Kitchen,Observatory,31,collect,156.0,20.0,120.12,restaurant_accepted
DFD71039388,2021-08-08,17:43:02,Ivy's Kitchen,Observatory,20,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71055790,2021-08-08,18:39:01,Ivy's Kitchen,Observatory,25,delivery,89.0,27.5,60.85,restaurant_accepted
DFD71211250,2021-08-10,12:20:27,Ivy's Kitchen,Observatory,28,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71219455,2021-08-10,13:09:01,Ivy's Kitchen,Observatory,28,delivery,72.0,27.5,49.23,restaurant_accepted
DFD71261578,2021-08-10,18:24:52,Ivy's Kitchen,Observatory,16,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71266122,2021-08-10,18:45:52,Ivy's Kitchen,Observatory,33,delivery,210.0,27.5,143.59,restaurant_accepted
DFD71267582,2021-08-10,18:55:07,Ivy's Kitchen,Observatory,16,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71319985,2021-08-11,14:19:05,Ivy's Kitchen,Observatory,28,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71323541,2021-08-11,14:52:54,Ivy's Kitchen,Observatory,17,delivery,105.0,27.5,71.79,restaurant_accepted
DFD71362230,2021-08-11,18:40:15,Ivy's Kitchen,Observatory,21,delivery,72.0,27.5,49.23,restaurant_accepted
DFD71426551,2021-08-12,15:19:12,Ivy's Kitchen,Observatory,17,delivery,114.0,27.5,77.95,restaurant_accepted
DFD71444528,2021-08-12,17:20:39,Ivy's Kitchen,Observatory,18,delivery,156.0,27.5,106.67,restaurant_accepted
DFD71445379,2021-08-12,17:24:11,Ivy's Kitchen,Observatory,18,delivery,72.0,27.5,49.23,restaurant_accepted
DFD71451437,2021-08-12,17:46:00,Ivy's Kitchen,Observatory,21,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71452039,2021-08-12,17:48:09,Ivy's Kitchen,Observatory,24,delivery,156.0,27.5,106.67,restaurant_accepted
DFD71455433,2021-08-12,18:00:15,Ivy's Kitchen,Observatory,21,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71461196,2021-08-12,18:22:13,Ivy's Kitchen,Observatory,29,collect,116.0,20.0,89.32,restaurant_accepted
DFD71526104,2021-08-13,13:25:29,Ivy's Kitchen,Observatory,28,delivery,105.0,27.5,71.79,restaurant_accepted
DFD71535743,2021-08-13,14:26:15,Ivy's Kitchen,Observatory,14,delivery,120.0,27.5,82.05,restaurant_accepted
DFD71539099,2021-08-13,14:48:12,Ivy's Kitchen,Observatory,25,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71573648,2021-08-13,17:18:11,Ivy's Kitchen,Observatory,31,delivery,58.0,27.5,39.66,restaurant_accepted
DFD71582817,2021-08-13,17:36:12,Ivy's Kitchen,Observatory,21,delivery,105.0,27.5,71.79,restaurant_accepted
DFD71610240,2021-08-13,18:31:22,Ivy's Kitchen,Observatory,18,delivery,78.0,27.5,53.33,restaurant_accepted
DFD71631316,2021-08-13,19:24:41,Ivy's Kitchen,Observatory,20,delivery,78.0,27.5,53.33,restaurant_accepted
