Invoice Number,Date,Time,Restaurant,Suburb,Prep Time,Type,Food Total,Comm. Ex VAT(%),Due To You,Restaurant Status
DFD68213998,2021-07-16,14:18:28,Ivy's Kitchen,Observatory,16,delivery,110.0,27.5,75.21,restaurant_accepted
DFD68217477,2021-07-16,14:47:51,Ivy's Kitchen,Observatory,16,delivery,110.0,27.5,75.21,restaurant_accepted
DFD68220971,2021-07-16,15:15:51,Ivy's Kitchen,Observatory,15,delivery,72.0,27.5,49.23,restaurant_accepted
DFD68222330,2021-07-16,15:24:43,Ivy's Kitchen,Observatory,16,delivery,58.0,27.5,39.66,restaurant_accepted
DFD68223018,2021-07-16,15:30:33,Ivy's Kitchen,Observatory,31,delivery,150.0,27.5,102.56,restaurant_accepted
DFD68225668,2021-07-16,15:46:05,Ivy's Kitchen,Observatory,26,delivery,110.0,27.5,75.21,restaurant_accepted
DFD68239780,2021-07-16,16:49:27,Ivy's Kitchen,Observatory,16,delivery,110.0,27.5,75.21,restaurant_accepted
DFD68251661,2021-07-16,17:21:54,Ivy's Kitchen,Observatory,25,delivery,156.0,27.5,106.67,restaurant_accepted
DFD68260174,2021-07-16,17:39:52,Ivy's Kitchen,Observatory,32,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68268847,2021-07-16,17:57:41,Ivy's Kitchen,Observatory,17,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68276502,2021-07-16,18:14:11,Ivy's Kitchen,Observatory,23,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68287260,2021-07-16,18:42:51,Ivy's Kitchen,Observatory,29,delivery,72.0,27.5,49.23,restaurant_accepted
DFD68288536,2021-07-16,18:45:27,Ivy's Kitchen,Observatory,16,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68326922,2021-07-17,13:31:49,Ivy's Kitchen,Observatory,23,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68332199,2021-07-17,14:07:16,Ivy's Kitchen,Observatory,11,delivery,65.0,27.5,44.44,restaurant_accepted
DFD68332903,2021-07-17,14:12:22,Ivy's Kitchen,Observatory,12,delivery,130.0,27.5,88.89,restaurant_accepted
DFD68357971,2021-07-17,16:48:46,Ivy's Kitchen,Observatory,11,delivery,65.0,27.5,44.44,restaurant_accepted
DFD68373359,2021-07-17,17:44:39,Ivy's Kitchen,Observatory,27,delivery,143.0,27.5,97.77,restaurant_accepted
DFD68374176,2021-07-17,17:44:29,Ivy's Kitchen,Observatory,27,delivery,72.0,27.5,49.23,restaurant_accepted
DFD68390011,2021-07-17,18:25:07,Ivy's Kitchen,Observatory,15,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68437571,2021-07-18,14:12:08,Ivy's Kitchen,Observatory,12,delivery,110.0,27.5,75.21,restaurant_accepted
DFD68447447,2021-07-18,15:26:44,Ivy's Kitchen,Observatory,21,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68478994,2021-07-18,18:18:46,Ivy's Kitchen,Observatory,14,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68483443,2021-07-18,18:35:38,Ivy's Kitchen,Observatory,28,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68528810,2021-07-19,15:06:41,Ivy's Kitchen,Observatory,21,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68532060,2021-07-19,15:43:26,Ivy's Kitchen,Observatory,23,delivery,58.0,27.5,39.66,restaurant_accepted
DFD68536602,2021-07-19,16:27:29,Ivy's Kitchen,Observatory,23,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68631312,2021-07-20,16:35:14,Ivy's Kitchen,Observatory,25,delivery,116.0,27.5,79.31,restaurant_accepted
DFD68650667,2021-07-20,17:56:45,Ivy's Kitchen,Observatory,18,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68661951,2021-07-20,18:34:55,Ivy's Kitchen,Observatory,16,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68664019,2021-07-20,18:42:29,Ivy's Kitchen,Observatory,32,delivery,136.0,27.5,92.99,restaurant_accepted
DFD68667656,2021-07-20,18:59:04,Ivy's Kitchen,Observatory,28,delivery,72.0,27.5,49.23,restaurant_accepted
DFD68720503,2021-07-21,15:14:44,Ivy's Kitchen,Observatory,12,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68736147,2021-07-21,17:04:37,Ivy's Kitchen,Observatory,25,delivery,93.0,27.5,63.59,restaurant_accepted
DFD68744167,2021-07-21,17:36:49,Ivy's Kitchen,Observatory,21,delivery,156.0,27.5,106.67,restaurant_accepted
DFD68746136,2021-07-21,17:45:30,Ivy's Kitchen,Observatory,16,delivery,72.0,27.5,49.23,restaurant_accepted
DFD68806036,2021-07-22,13:18:00,Ivy's Kitchen,Observatory,22,delivery,78.0,27.5,53.33,restaurant_accepted
DFD68812808,2021-07-22,14:01:44,Ivy's Kitchen,Observatory,21,delivery,89.0,27.5,60.85,restaurant_accepted
DFD68839492,2021-07-22,17:05:00,Ivy's Kitchen,Observatory,16,delivery,105.0,27.5,71.79,restaurant_accepted
DFD68849994,2021-07-22,17:37:50,Ivy's Kitchen,Observatory,26,delivery,105.0,27.5,71.79,restaurant_accepted
DFD68870744,2021-07-22,18:37:06,Ivy's Kitchen,Observatory,26,delivery,105.0,27.5,71.79,restaurant_accepted
DFD68953401,2021-07-23,15:25:06,Ivy's Kitchen,Observatory,12,delivery,120.0,27.5,82.05,restaurant_accepted
DFD68986739,2021-07-23,17:18:35,Ivy's Kitchen,Observatory,24,delivery,89.0,27.5,60.85,restaurant_accepted
DFD68991126,2021-07-23,17:24:50,Ivy's Kitchen,Observatory,21,delivery,78.0,27.5,53.33,restaurant_accepted
DFD69007723,2021-07-23,17:53:24,Ivy's Kitchen,Observatory,24,delivery,156.0,27.5,106.67,restaurant_accepted
DFD69021701,2021-07-23,18:23:47,Ivy's Kitchen,Observatory,28,delivery,58.0,27.5,39.66,restaurant_accepted
DFD69083174,2021-07-24,12:53:36,Ivy's Kitchen,Observatory,13,delivery,130.0,27.5,88.89,restaurant_accepted
DFD69092323,2021-07-24,13:41:36,Ivy's Kitchen,Observatory,22,delivery,120.0,27.5,82.05,restaurant_accepted
DFD69093645,2021-07-24,13:48:07,Ivy's Kitchen,Observatory,27,collect,163.0,20.0,125.51,restaurant_accepted
DFD69093757,2021-07-24,13:49:25,Ivy's Kitchen,Observatory,27,delivery,163.0,27.5,111.45,restaurant_accepted
DFD69101673,2021-07-24,14:30:45,Ivy's Kitchen,Observatory,15,delivery,58.0,27.5,39.66,restaurant_accepted
DFD69106470,2021-07-24,15:05:41,Ivy's Kitchen,Observatory,16,delivery,72.0,27.5,49.23,restaurant_accepted
DFD69121849,2021-07-24,16:12:18,Ivy's Kitchen,Observatory,22,delivery,120.0,27.5,82.05,restaurant_accepted
DFD69126419,2021-07-24,16:31:22,Ivy's Kitchen,Observatory,13,delivery,130.0,27.5,88.89,restaurant_accepted
